timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
4290.035,0.4499,7.9442,6.0491,0.77,-1.33,0.98,0.8758,-9.7101,-1.584,6.02,-1.05,-0.98,0.0383,-0.1006,8.521,-1.3588,-0.5802,-0.3969,-0.2849,-7.3167,-6.6966,-3.1221,1.1527,0.5191
4409.553,0.4929,7.9059,6.0347,0.35,-1.26,1.19,0.8088,-9.6718,-0.6508,-5.25,-2.31,-1.26,-0.0072,-0.1006,8.5545,-1.4351,-0.5802,-0.4656,-0.3089,-7.3263,-6.7924,-3.1374,1.3893,0.6794
4498.365,0.4499,7.9298,6.0395,0.49,-1.4,0.98,0.8662,-9.7196,-1.4453,4.34,-0.98,-1.05,0.0886,-0.2227,8.4707,-1.1679,-0.3511,-0.5344,-0.3448,-7.2903,-6.7133,-3.0153,1.5954,0.8855
4588.037,0.5121,7.9729,6.0443,0.84,-1.33,1.05,0.7896,-9.7149,-0.804,-5.46,-2.45,-1.33,-0.0096,-0.1532,8.5856,-1.3664,-0.6336,-0.5725,0.1149,-7.0581,-6.8091,-5.0763,2.3893,1.9924
4680.563,0.469,7.9346,6.0347,0.42,-1.12,1.12,0.8518,-9.6622,-1.273,9.38,-0.7,-0.91,0.0527,-0.1389,8.5449,-1.229,-0.4198,-0.6489,-0.3711,-7.3382,-6.766,-3.0611,0.9924,0.1679
4770.084,0.4977,7.9059,6.0347,0.35,-1.05,1.12,0.804,-9.6814,-1.1103,-5.53,-2.45,-1.19,-0.0168,-0.0886,8.6407,-1.3282,-0.6641,-0.4885,-0.34,-7.3502,-6.6655,-3.084,1.0534,0.2595
4860.501,0.469,7.9202,6.0347,0.14,-1.19,1.05,0.8279,-9.6574,-1.1486,4.62,-1.26,-1.05,0.012,-0.1484,8.5305,-1.4351,-0.8015,-0.6718,-0.3208,-7.3119,-6.7157,-3.3053,1.2519,0.3664
4950.339,0.4881,7.9442,6.0491,1.26,-1.4,1.19,0.8423,-9.734,-1.1294,-3.36,-2.31,-1.26,0.1101,-0.1604,8.5377,-1.3206,-0.5496,-0.5573,-0.3472,-7.3263,-6.6679,-3.4046,1.1221,0.3359
5039.53,0.4881,7.8963,6.0203,-0.14,-1.12,1.12,0.8327,-9.6574,-0.9715,7.84,-1.26,-1.05,-0.1173,-0.1628,8.4443,-1.5191,-0.8168,-0.5954,-0.3256,-7.3287,-6.7277,-3.1985,1.1069,0.229
5159.898,0.4929,7.9777,6.0826,1.26,-1.26,1.05,0.804,-9.7579,-1.3208,-4.69,-2.38,-1.12,0.0694,-0.1604,8.5641,-1.1832,-0.6183,-0.626,-0.3232,-7.3119,-6.7493,-2.9084,1.1221,0.2824
5248.2,0.4786,7.9107,6.0251,17.78,-1.19,1.12,0.8231,-9.6383,-0.7035,4.69,-1.33,-1.12,0.0,-0.1652,8.4803,-1.4504,-0.855,-0.6489,-0.3112,-7.3694,-6.6822,-3.626,0.2901,-0.3435
5338.584,0.5121,7.9968,6.1065,1.05,-1.47,0.21,0.8614,-9.7388,-1.5075,0.49,-1.68,-1.12,-0.0527,-0.1963,8.5186,-1.3893,-0.3969,-0.6107,-0.3112,-7.3526,-6.7756,-3.0229,0.8779,0.1679
5427.876,0.4881,7.9298,6.0682,0.28,-1.26,1.54,0.8231,-9.5904,-0.6413,-3.92,-2.24,-1.19,0.0168,-0.1221,8.4683,-1.4198,-0.6718,-0.458,-0.3831,-7.4005,-6.7181,-3.3511,1.2901,0.4351
5518.412,0.4834,8.0016,6.0682,1.12,-1.47,0.84,0.8806,-9.7149,-1.4261,4.27,-1.33,-1.12,0.0622,-0.1532,8.5545,-1.4504,-0.458,-0.5191,-0.2849,-7.2903,-6.6176,-3.4198,1.1756,0.3588
5608.668,0.4929,7.8963,6.0395,-0.63,-0.98,1.19,0.7992,-9.667,-0.6796,-0.07,-2.24,-1.19,0.0024,-0.1245,8.5401,-1.5267,-0.5878,-0.5878,-0.3735,-7.2951,-6.7756,-3.1527,1.1603,0.3282
5700.241,0.4786,7.9585,6.0443,0.98,-1.33,0.98,0.8518,-9.7436,-1.6128,2.38,-1.61,-0.98,0.067,-0.1556,8.5353,-1.5725,-0.3359,-0.5496,-0.3041,-7.2999,-6.7301,-3.3359,1.0305,0.4885
5820.846,0.5168,7.925,6.0108,0.84,-1.26,1.19,0.7848,-9.6622,-0.5695,-3.92,-2.24,-1.33,0.0192,-0.1053,8.5617,-1.3359,-0.7023,-0.5954,-0.3759,-7.3646,-6.6391,-3.2366,1.0382,0.4122
5911.117,0.4642,7.925,6.0347,0.28,-1.26,0.98,0.8806,-9.7244,-1.3831,8.12,-0.91,-0.98,0.0144,-0.1125,8.4276,-1.542,-0.6412,-0.7939,-0.3543,-7.331,-6.7732,-3.2366,1.1908,0.3282
5998.025,0.4929,7.949,6.0586,0.98,-1.33,1.12,0.8136,-9.6909,-0.7035,-6.51,-2.52,-1.26,-0.0239,-0.0694,8.5305,-1.2061,-0.7252,-0.5878,-0.4118,-7.3646,-6.7445,-2.9389,1.145,0.4046
6088.081,0.4738,7.9011,6.0251,0.28,-1.19,1.26,0.8662,-9.6574,-1.2443,8.61,-0.84,-0.98,0.1053,-0.1484,8.5018,-1.4733,-0.3511,-0.5573,-0.3998,-7.3646,-6.7852,-3.374,1.0763,0.4427
6178.306,0.4834,7.9585,6.0299,0.42,-1.12,1.05,0.8423,-9.7101,-1.0528,-6.72,-2.45,-1.26,0.0646,-0.1245,8.5114,-1.3206,-0.4046,-0.3969,-0.2921,-7.3646,-6.6966,-3.2824,1.1221,0.3664
6272.526,0.4738,7.9059,6.0156,0.84,-1.26,1.19,0.8518,-9.6574,-0.9428,7.35,-0.98,-0.98,0.0144,-0.0862,8.4922,-1.3435,-0.8321,-0.5649,-0.3065,-7.2856,-6.7301,-3.2061,1.0611,0.2748
6358.285,0.4738,7.9585,6.0443,1.47,-1.4,1.12,0.8327,-9.7244,-1.2586,-5.11,-2.38,-1.19,0.0527,-0.2035,8.5569,-1.2061,-0.4885,-0.5191,-0.34,-7.3215,-6.699,-3.3053,1.1298,0.5267
6447.992,0.469,7.8963,6.0012,-0.42,-1.12,0.91,0.8423,-9.6766,-0.7992,5.11,-1.26,-0.98,0.0215,-0.1389,8.4874,-1.2977,-0.5725,-0.5344,-0.3041,-7.3095,-6.7014,-3.1908,1.0229,0.1908
6658.117,0.469,7.882,6.0156,-0.21,-1.05,1.26,0.8231,-9.6191,-0.5886,5.39,-1.96,-1.12,-0.0024,-0.1341,8.576,-1.4122,-0.687,-0.5038,-0.328,-7.331,-6.6152,-3.2901,1.0305,0.4733
6748.194,0.4738,7.9633,6.0443,1.05,-1.47,0.84,0.871,-9.7675,-1.6845,-2.38,-1.33,-1.12,0.0359,-0.1269,8.4851,-1.458,-0.4962,-0.4046,-0.328,-7.2903,-6.7924,-3.1832,1.1908,0.4962
6838.416,0.4881,7.9107,6.0251,0.21,-0.98,1.26,0.8136,-9.667,-0.3876,-0.14,-1.82,-1.26,-0.0215,-0.1077,8.4827,-1.4198,-0.5496,-0.4122,-0.3591,-7.3526,-6.7852,-3.1527,1.1221,0.3664
6928.252,0.4881,7.9442,6.0347,0.84,-1.26,0.98,0.8662,-9.7149,-1.651,4.34,-1.26,-1.12,0.0814,-0.1796,8.4707,-1.313,-0.5191,-0.6183,-0.3687,-7.3167,-6.7301,-3.0534,1.1221,0.4427
7018.826,0.469,7.882,6.0156,-0.07,-1.05,1.12,0.804,-9.6622,-0.7561,-3.78,-2.24,-1.12,-0.0599,-0.0838,8.521,-1.542,-0.5878,-0.5267,-0.3112,-7.3239,-6.6391,-3.458,1.0229,0.4351
7109.054,0.4738,7.9394,6.0395,1.05,-1.47,0.84,0.8662,-9.7244,-1.541,6.09,-1.26,-0.98,0.0527,-0.1269,8.5258,-1.4809,-0.4504,-0.6565,-0.3448,-7.3263,-6.754,-3.1298,1.2214,0.374
7228.244,0.5121,7.9442,6.0251,0.56,-1.4,1.12,0.804,-9.667,-0.67,-3.36,-2.52,-1.26,0.0622,-0.1269,8.5449,-1.4733,-0.6794,-0.5267,-0.3543,-7.3334,-6.6798,-3.3588,1.2519,0.5191
7318.395,0.4451,7.9107,6.0012,0.49,-1.26,0.91,0.8758,-9.7005,-1.5314,9.1,-0.49,-0.98,0.0383,-0.1341,8.5353,-1.4885,-0.3435,-0.7252,-0.3065,-7.2856,-6.7086,-3.229,1.1908,0.374
7408.316,0.4881,7.9298,6.0538,0.56,-1.26,1.05,0.7992,-9.7101,-0.8183,-9.03,-2.87,-1.26,0.0622,-0.1413,8.4659,-1.1908,-0.5573,-0.6947,-0.3065,-7.3215,-6.7493,-3.3817,1.1603,0.2901
7499.008,0.4834,7.9394,6.006,0.28,-1.26,1.05,0.8614,-9.7005,-1.0768,8.4,-0.84,-0.84,0.0287,-0.0814,8.4922,-1.2901,-0.3664,-0.4275,-0.3639,-7.3502,-6.6535,-3.2519,1.1603,0.4198
7590.232,0.4881,7.9442,6.0586,0.7,-1.33,0.98,0.8423,-9.7196,-2.1823,-5.25,-2.31,-1.19,0.0742,-0.1317,8.5545,-1.3893,-0.6183,-0.5649,-0.4453,-7.331,-6.7277,-3.2595,0.8702,0.3664
7680.2,0.4642,7.8915,6.0203,0.35,-1.4,1.19,0.8279,-9.6574,-1.1486,6.86,-0.98,-1.05,-0.0072,-0.1604,8.6694,-1.4504,-0.7405,-0.3817,-0.3304,-7.2808,-6.8259,-3.1527,1.2748,0.313
