timestamp,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
8426.647,7.6662,-0.2753,5.5498,-1.4275,-0.4427,-0.4656,10.3932,-0.3567,0.1724,-3.2061,1.2977,0.542
8547.184,7.6184,-0.1963,5.5833,-1.4122,-0.4198,-0.7176,10.307,-0.3041,0.2322,-3.3053,1.1832,0.3893
8637.617,7.5824,-0.3519,5.4971,-1.3817,-0.4427,-0.5267,10.3142,-0.3615,0.2705,-3.0305,1.2519,0.3435
8728.91,7.6567,-0.2131,5.6168,-1.4427,-0.5649,-0.6641,10.2352,-0.3615,0.3567,-3.229,1.1374,0.4504
8819.286,7.6854,-0.3448,5.5498,-1.2366,-0.6641,-0.6489,10.3118,-0.3352,0.1077,-3.4733,1.0763,0.4351
8907.454,7.6878,-0.2227,5.5522,-1.5267,-0.5725,-0.7023,10.3166,-0.3687,0.2251,-3.4122,1.084,0.3817
8998.516,7.6567,-0.3376,5.5689,-1.4198,-0.7176,-0.542,10.2759,-0.316,0.2777,-3.2901,0.9542,0.4962
9089.691,7.6016,-0.2634,5.5569,-1.5573,-0.4733,-0.4733,10.3765,-0.3328,0.2203,-3.1756,1.0687,0.458
9179.278,7.6351,-0.4094,5.6407,-1.5649,-0.5878,-0.542,10.3046,-0.3232,0.146,-3.3664,1.3511,0.6565
9267.942,7.6423,-0.3519,5.545,-1.2748,-0.4733,-0.4198,10.2352,-0.3424,0.2059,-3.313,1.0382,0.2672
9359.012,7.5968,-0.3496,5.5593,-1.4885,-0.6336,-0.5802,10.3166,-0.3256,0.1604,-3.145,1.229,0.3435
9449.497,7.6231,-0.3184,5.5162,-1.4198,-0.626,-0.542,10.307,-0.3591,0.2634,-3.3282,1.1832,0.3359
9538.652,7.6136,-0.2873,5.624,-1.3969,-0.6412,-0.6107,10.3453,-0.3831,0.0958,-3.374,1.4198,0.4046
9627.326,7.6136,-0.3017,5.5043,-1.4656,-0.6183,-0.4046,10.3142,-0.3256,0.2466,-3.3206,0.9389,0.3588
9719.202,7.5489,-0.2466,5.5929,-1.4885,-0.687,-0.5267,10.2687,-0.3208,0.1748,-3.3359,0.9237,0.458
9807.923,7.6327,-0.395,5.4923,-1.4351,-0.6107,-0.4427,10.3166,-0.3615,0.1125,-3.3359,1.2519,0.4351
9928.32,7.6112,-0.2251,5.5498,-1.374,-0.4351,-0.6565,10.2687,-0.3687,0.1532,-3.2214,1.2137,0.6183
10016.274,7.5968,-0.3615,5.5162,-1.458,-0.8015,-0.6489,10.3645,-0.2801,0.1293,-3.2977,1.2137,0.4427
