timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
3506.838,0.5121,9.4181,3.2351,0.63,-1.33,1.05,0.7609,-9.5282,-1.9956,1.05,-1.68,-1.05,0.0263,-0.1053,8.5425,-1.5191,-0.6031,-0.626,-9.2632,-0.1317,-0.5148,-3.1679,1.2748,0.4427
3596.547,0.4929,9.4229,3.2399,0.35,-1.26,1.19,0.7418,-9.5282,-2.1344,0.56,-1.75,-0.98,0.0144,-0.0982,8.5569,-1.3435,-0.5878,-0.3359,-9.2464,-0.1245,-0.4357,-3.1756,1.3969,0.4733
3656.344,0.5647,9.4756,3.1777,-1.96,-0.98,1.47,0.7657,-9.5426,-1.9813,1.75,-1.54,-1.05,-0.0072,-0.1221,8.6718,-1.5878,-0.4656,-0.458,-9.3015,-0.1245,-0.5076,-3.145,0.9847,0.4656
3746.49,0.4834,9.4469,3.1968,-0.07,-1.19,0.98,0.7753,-9.5091,-2.0387,0.84,-1.68,-0.98,0.0694,-0.1389,8.5473,-1.3206,-0.5267,-0.4962,-9.3111,-0.1628,-0.3926,-3.458,1.0229,0.542
3835.893,0.4881,9.4325,3.2064,0.7,-1.19,0.91,0.7657,-9.5091,-1.9908,1.05,-1.82,-0.98,0.0311,-0.0814,8.6024,-1.4351,-0.4885,-0.5496,-9.2608,-0.1293,-0.4238,-3.2366,1.1298,0.4427
3896.163,0.5264,9.4229,3.2112,0.91,-1.19,1.05,0.7705,-9.5378,-1.9669,0.91,-1.75,-0.98,0.0718,-0.1484,8.5976,-1.2595,-0.313,-0.5725,-9.2392,-0.1125,-0.4836,-3.2366,1.2672,0.4046
3988.567,0.5312,9.4038,3.2495,0.7,-1.26,0.91,0.7801,-9.5521,-2.0339,1.05,-1.68,-1.05,-0.0024,-0.1437,8.6072,-1.0534,-0.6183,-0.4275,-9.2033,-0.0982,-0.4357,-3.3511,1.1527,0.5115
4049.363,0.5073,9.4469,3.2303,0.7,-1.33,0.98,0.7848,-9.5234,-1.9669,0.7,-1.82,-0.98,0.0215,-0.0982,8.5305,-1.4504,-0.6336,-0.6794,-9.2703,-0.1317,-0.4741,-3.4198,1.1221,0.4656
4138.465,0.5168,9.4277,3.2207,1.4,-1.33,1.26,0.7896,-9.5282,-1.943,0.63,-1.75,-1.05,0.0383,-0.1125,8.5114,-1.313,-0.626,-0.4198,-9.2416,-0.1245,-0.4932,-3.1832,0.9695,0.1832
4228.15,0.5168,9.3942,3.2255,0.91,-1.26,0.91,0.7657,-9.5282,-1.9573,1.26,-1.89,-0.91,0.0192,-0.0982,8.5425,-1.4351,-0.4962,-0.4504,-9.2416,-0.1173,-0.3759,-3.4962,1.0458,0.4885
4288.341,0.5168,9.4325,3.216,1.05,-1.33,0.98,0.7753,-9.533,-1.9478,2.17,-1.68,-0.98,0.0048,-0.1317,8.5258,-1.4427,-0.5725,-0.5802,-9.2344,-0.0886,-0.4477,-3.2366,1.0763,0.2519
4378.691,0.5168,9.5809,3.216,0.49,-1.33,1.4,0.7609,-9.5426,-2.0339,0.63,-1.54,-1.19,0.0192,-0.1365,8.5473,-1.3511,-0.4962,-0.4275,-9.2823,-0.1365,-0.5507,-3.374,1.1298,0.4733
4468.954,0.4738,9.4086,3.2542,0.63,-1.33,0.56,0.7561,-9.5282,-1.9478,0.77,-1.75,-0.98,0.0263,-0.2011,8.5712,-1.145,-0.5191,-0.5115,-9.3422,-0.0886,-0.5148,-3.1298,1.1603,0.4809
4527.781,0.4929,9.4181,3.2495,-0.07,-1.26,0.7,0.7705,-9.5282,-1.9765,0.91,-1.61,-1.12,0.0287,-0.1173,8.5497,-1.2443,-0.6336,-0.5802,-9.1961,-0.1053,-0.3711,-3.2137,1.2595,0.4198
4616.138,0.4834,9.4325,3.2638,0.07,-1.33,1.19,0.7801,-9.5378,-2.01,0.77,-1.82,-0.98,0.0407,-0.1604,8.4683,-1.3435,-0.8015,-0.4656,-9.3206,-0.1365,-0.4549,-3.2061,0.9771,0.4351
4706.051,0.5073,9.4469,3.2495,0.77,-1.33,1.05,0.7801,-9.5474,-1.9669,1.26,-1.68,-1.05,-0.0407,-0.1484,8.4922,-1.3359,-0.6031,-0.6107,-9.2608,-0.1101,-0.3591,-3.1908,1.1374,0.5725
4765.993,0.5264,9.4373,3.216,0.28,-1.33,0.98,0.7513,-9.5139,-1.9956,1.82,-2.03,-0.77,-0.0096,-0.1748,8.6574,-1.6336,-0.5878,-0.6718,-9.244,-0.1317,-0.3591,-3.4198,1.0992,0.2061
4855.792,0.4834,9.4612,3.1585,1.4,-1.33,1.75,0.7657,-9.5474,-2.0387,0.84,-1.68,-0.98,-0.0311,-0.1101,8.5329,-1.3435,-0.6641,-0.4809,-9.2751,-0.1006,-0.395,-3.2824,1.1374,0.5725
4916.343,0.5121,9.4134,3.1872,1.19,-1.47,1.05,0.7992,-9.5043,-1.986,1.12,-1.82,-0.91,-0.0096,-0.1652,8.5736,-1.3435,-0.7176,-0.4733,-9.2536,-0.1317,-0.3926,-3.5038,1.145,0.2672
5005.905,0.5216,9.4038,3.2112,1.26,-1.47,1.05,0.7705,-9.5378,-1.9908,1.4,-1.75,-0.98,0.0096,-0.1365,8.5066,-1.2214,-0.5649,-0.5878,-9.268,-0.0838,-0.3998,-3.2137,1.1756,0.3893
5096.444,0.4977,9.4229,3.2255,0.28,-1.26,1.05,0.7657,-9.5186,-2.0052,0.77,-1.82,-0.98,0.0144,-0.1149,8.6095,-1.3282,-0.7023,-0.4962,-9.2967,-0.0934,-0.4238,-3.2595,1.0992,0.4962
5156.102,0.4881,9.4469,3.2495,0.42,-1.26,1.05,0.7753,-9.5234,-1.9813,0.91,-1.75,-1.05,-0.0503,-0.1317,8.5186,-1.1908,-0.5344,-0.7481,-9.3134,-0.1293,-0.4094,-3.1374,1.1603,0.4656
5246.702,0.5025,9.4373,3.216,0.84,-1.33,0.91,0.7657,-9.5378,-1.9956,1.05,-1.61,-1.12,-0.0527,-0.1389,8.6143,-1.3969,-0.4046,-0.3588,-9.244,-0.079,-0.3903,-3.229,1.145,0.3893
