timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,MPU_Accel_X,MPU_Accel_Y,MPU_Accel_Z,MPU_Gyro_X,MPU_Gyro_Y,MPU_Gyro_Z
4318.356,-0.2489,9.4134,-3.1442,0.28,-1.26,1.05,0.1819,7.882,-5.7571,1.05,-1.61,-1.12,-0.067,-0.1077,8.4994,-1.4962,-0.5496,-0.6718
4408.425,-0.2536,9.4421,-3.1394,0.7,-1.33,1.05,0.2106,7.882,-5.7236,0.91,-1.75,-1.12,-0.0072,-0.0694,8.4946,-1.5573,-0.5649,-0.6107
4470.262,-0.2584,9.4038,-3.1633,0.7,-1.4,1.12,0.1914,7.8532,-5.7284,1.12,-1.68,-1.12,-0.1125,-0.0982,8.5617,-1.4046,-0.3969,-0.3817
4562.798,-0.2776,9.4421,-3.1394,0.7,-1.26,1.12,0.1771,7.8724,-5.7141,1.05,-1.54,-1.12,-0.0311,-0.1772,8.4587,-1.5267,-0.5496,-0.3969
4651.988,-0.2441,9.4325,-3.125,0.35,-1.12,1.05,0.1771,7.8772,-5.738,1.05,-1.75,-1.12,-0.012,-0.0599,8.5545,-1.5115,-0.6489,-0.5267
4708.522,-0.2297,9.4469,-3.1394,0.21,-1.12,1.12,0.1723,7.8772,-5.7332,0.98,-1.68,-1.12,-0.0527,-0.1173,8.5186,-1.4733,-0.542,-0.5802
4798.621,-0.2632,9.4277,-3.1346,0.77,-1.19,1.19,0.1819,7.8772,-5.738,0.91,-1.68,-1.12,0.0048,-0.0886,8.509,-1.626,-0.5496,-0.4122
4860.325,-0.2441,9.4181,-3.1585,0.91,-1.4,1.12,0.1866,7.882,-5.7236,1.05,-1.68,-1.19,-0.0599,-0.1149,8.4946,-1.4275,-0.5878,-0.5725
4952.29,-0.2728,9.4229,-3.1442,0.35,-1.33,1.12,0.1819,7.882,-5.7332,0.98,-1.61,-1.05,-0.0599,-0.0694,8.4204,-1.4809,-0.5802,-0.3817
5040.342,-0.2536,9.4325,-3.1394,0.77,-1.33,1.12,0.1962,7.8772,-5.7428,0.98,-1.68,-1.12,-0.1101,-0.067,8.5688,-1.5573,-0.5802,-0.6031
5102.872,-0.2584,9.4229,-3.1394,0.28,-1.26,1.19,0.1819,7.858,-5.7284,1.05,-1.75,-1.12,-0.0694,-0.1293,8.4683,-1.4351,-0.5344,-0.5649
